starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 09:50:16 2014	1407570616	361	150	511	150
Sat Aug 09 09:50:16 2014	1407570616	362	150	512	150
Sat Aug 09 09:50:16 2014	1407570616	363	241	604	241
Sat Aug 09 09:50:16 2014	1407570616	360	302	663	241
Sat Aug 09 09:50:16 2014	1407570616	352	515	867	515
Sat Aug 09 09:50:16 2014	1407570616	352	524	876	524
Sat Aug 09 09:50:16 2014	1407570616	352	525	877	525
Sat Aug 09 09:50:16 2014	1407570616	351	525	877	516
Sat Aug 09 09:50:16 2014	1407570616	352	526	878	526
Sat Aug 09 09:50:16 2014	1407570616	352	526	878	526
Sat Aug 09 09:50:16 2014	1407570616	353	527	880	527
Sat Aug 09 09:50:16 2014	1407570616	351	531	882	531
Sat Aug 09 09:50:16 2014	1407570616	353	537	889	536
Sat Aug 09 09:50:16 2014	1407570616	353	544	897	537
Sat Aug 09 09:50:16 2014	1407570616	352	546	898	546
Sat Aug 09 09:50:16 2014	1407570616	351	551	903	551
Sat Aug 09 09:50:16 2014	1407570616	353	550	903	550
Sat Aug 09 09:50:16 2014	1407570616	352	553	904	553
Sat Aug 09 09:50:16 2014	1407570616	363	546	909	546
Sat Aug 09 09:50:16 2014	1407570616	353	557	910	557
Sat Aug 09 09:50:16 2014	1407570616	353	559	912	559
Sat Aug 09 09:50:16 2014	1407570616	352	562	914	562
Sat Aug 09 09:50:16 2014	1407570616	353	561	914	561
Sat Aug 09 09:50:16 2014	1407570616	351	563	915	563
Sat Aug 09 09:50:16 2014	1407570616	353	564	917	564
Sat Aug 09 09:50:16 2014	1407570616	351	566	917	566
Sat Aug 09 09:50:16 2014	1407570616	363	556	919	556
Sat Aug 09 09:50:16 2014	1407570616	363	557	920	557
Sat Aug 09 09:50:16 2014	1407570616	353	568	920	567
Sat Aug 09 09:50:16 2014	1407570616	361	561	922	561
Sat Aug 09 09:50:16 2014	1407570616	354	570	924	570
Sat Aug 09 09:50:16 2014	1407570616	353	574	927	574
Sat Aug 09 09:50:16 2014	1407570616	354	575	929	575
Sat Aug 09 09:50:16 2014	1407570616	354	578	931	578
Sat Aug 09 09:50:16 2014	1407570616	354	581	934	581
Sat Aug 09 09:50:16 2014	1407570616	362	573	935	573
Sat Aug 09 09:50:16 2014	1407570616	353	583	937	583
Sat Aug 09 09:50:16 2014	1407570616	354	585	939	585
Sat Aug 09 09:50:16 2014	1407570616	361	580	942	580
Sat Aug 09 09:50:16 2014	1407570616	354	588	942	588
Sat Aug 09 09:50:16 2014	1407570616	361	581	942	581
Sat Aug 09 09:50:16 2014	1407570616	361	583	944	583
Sat Aug 09 09:50:16 2014	1407570616	361	584	945	584
Sat Aug 09 09:50:16 2014	1407570616	361	588	949	588
Sat Aug 09 09:50:16 2014	1407570616	354	597	951	597
Sat Aug 09 09:50:16 2014	1407570616	362	593	954	593
Sat Aug 09 09:50:16 2014	1407570616	363	592	955	592
Sat Aug 09 09:50:16 2014	1407570616	352	604	955	603
Sat Aug 09 09:50:16 2014	1407570616	355	600	956	600
Sat Aug 09 09:50:16 2014	1407570616	361	595	956	595
Sat Aug 09 09:50:16 2014	1407570616	362	595	956	595
Sat Aug 09 09:50:16 2014	1407570616	358	600	958	600
Sat Aug 09 09:50:16 2014	1407570616	362	597	959	597
