starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 09:49:21 2014	1407570561	5	3	7	3
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	3
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	3
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	3
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	3
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	3
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	3
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	2
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	2
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	2
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	2
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	2
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	2
Sat Aug 09 09:49:21 2014	1407570561	5	3	8	2
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	5	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	5	4	8	3
Sat Aug 09 09:49:21 2014	1407570561	4	4	8	4
Sat Aug 09 09:49:21 2014	1407570561	4	4	9	4
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	3	6	9	6
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	3	6	9	6
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	3	6	9	6
Sat Aug 09 09:49:21 2014	1407570561	3	6	9	6
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	6	9	6
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	6	9	6
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	9	3
Sat Aug 09 09:49:21 2014	1407570561	4	6	10	6
Sat Aug 09 09:49:21 2014	1407570561	4	5	10	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	10	3
Sat Aug 09 09:49:21 2014	1407570561	4	5	10	3
